"year","causeOfDeath","sex","deaths"
1971,"All diseases of the circulatory system","Males",31748
1971,"All diseases of the circulatory system","Females",28864
1971,"All diseases of the circulatory system","Total",60612
1972,"All diseases of the circulatory system","Males",31577
1972,"All diseases of the circulatory system","Females",28157
1972,"All diseases of the circulatory system","Total",59734
1973,"All diseases of the circulatory system","Males",31557
1973,"All diseases of the circulatory system","Females",28454
1973,"All diseases of the circulatory system","Total",60011
1974,"All diseases of the circulatory system","Males",32544
1974,"All diseases of the circulatory system","Females",29989
1974,"All diseases of the circulatory system","Total",62533
1975,"All diseases of the circulatory system","Males",30792
1975,"All diseases of the circulatory system","Females",27998
1975,"All diseases of the circulatory system","Total",58790
1976,"All diseases of the circulatory system","Males",31684
1976,"All diseases of the circulatory system","Females",28518
1976,"All diseases of the circulatory system","Total",60202
1977,"All diseases of the circulatory system","Males",30067
1977,"All diseases of the circulatory system","Females",27620
1977,"All diseases of the circulatory system","Total",57687
1978,"All diseases of the circulatory system","Males",29667
1978,"All diseases of the circulatory system","Females",27255
1978,"All diseases of the circulatory system","Total",56922
1979,"All diseases of the circulatory system","Males",29098
1979,"All diseases of the circulatory system","Females",26464
1979,"All diseases of the circulatory system","Total",55562
1980,"All diseases of the circulatory system","Males",29219
1980,"All diseases of the circulatory system","Females",26548
1980,"All diseases of the circulatory system","Total",55767
1981,"All diseases of the circulatory system","Males",29293
1981,"All diseases of the circulatory system","Females",26752
1981,"All diseases of the circulatory system","Total",56045
1982,"All diseases of the circulatory system","Males",29718
1982,"All diseases of the circulatory system","Females",27968
1982,"All diseases of the circulatory system","Total",57686
1983,"All diseases of the circulatory system","Males",28230
1983,"All diseases of the circulatory system","Females",26431
1983,"All diseases of the circulatory system","Total",54661
1984,"All diseases of the circulatory system","Males",27797
1984,"All diseases of the circulatory system","Females",26492
1984,"All diseases of the circulatory system","Total",54289
1985,"All diseases of the circulatory system","Males",29006
1985,"All diseases of the circulatory system","Females",28522
1985,"All diseases of the circulatory system","Total",57528
1986,"All diseases of the circulatory system","Males",27949
1986,"All diseases of the circulatory system","Females",27316
1986,"All diseases of the circulatory system","Total",55265
1987,"All diseases of the circulatory system","Males",28081
1987,"All diseases of the circulatory system","Females",27597
1987,"All diseases of the circulatory system","Total",55678
1988,"All diseases of the circulatory system","Males",27779
1988,"All diseases of the circulatory system","Females",27301
1988,"All diseases of the circulatory system","Total",55080
1989,"All diseases of the circulatory system","Males",28376
1989,"All diseases of the circulatory system","Females",28453
1989,"All diseases of the circulatory system","Total",56829
1990,"All diseases of the circulatory system","Males",27033
1990,"All diseases of the circulatory system","Females",27252
1990,"All diseases of the circulatory system","Total",54285
1991,"All diseases of the circulatory system","Males",26571
1991,"All diseases of the circulatory system","Females",26439
1991,"All diseases of the circulatory system","Total",53010
1992,"All diseases of the circulatory system","Males",27079
1992,"All diseases of the circulatory system","Females",27833
1992,"All diseases of the circulatory system","Total",54912
1993,"All diseases of the circulatory system","Males",26372
1993,"All diseases of the circulatory system","Females",26868
1993,"All diseases of the circulatory system","Total",53240
1994,"All diseases of the circulatory system","Males",27031
1994,"All diseases of the circulatory system","Females",27857
1994,"All diseases of the circulatory system","Total",54888
1995,"All diseases of the circulatory system","Males",26261
1995,"All diseases of the circulatory system","Females",27146
1995,"All diseases of the circulatory system","Total",53407
1996,"All diseases of the circulatory system","Males",26550
1996,"All diseases of the circulatory system","Females",27440
1996,"All diseases of the circulatory system","Total",53990
1997,"All diseases of the circulatory system","Males",26121
1997,"All diseases of the circulatory system","Females",27515
1997,"All diseases of the circulatory system","Total",53636
1998,"All diseases of the circulatory system","Males",25159
1998,"All diseases of the circulatory system","Females",26628
1998,"All diseases of the circulatory system","Total",51787
1999,"All diseases of the circulatory system","Males",24824
1999,"All diseases of the circulatory system","Females",26479
1999,"All diseases of the circulatory system","Total",51303
2000,"All diseases of the circulatory system","Males",23756
2000,"All diseases of the circulatory system","Females",25931
2000,"All diseases of the circulatory system","Total",49687
2001,"All diseases of the circulatory system","Males",23602
2001,"All diseases of the circulatory system","Females",25724
2001,"All diseases of the circulatory system","Total",49326
2002,"All diseases of the circulatory system","Males",23988
2002,"All diseases of the circulatory system","Females",26306
2002,"All diseases of the circulatory system","Total",50294
2003,"All diseases of the circulatory system","Males",23399
2003,"All diseases of the circulatory system","Females",25436
2003,"All diseases of the circulatory system","Total",48835
2004,"All diseases of the circulatory system","Males",22921
2004,"All diseases of the circulatory system","Females",24716
2004,"All diseases of the circulatory system","Total",47637
2005,"All diseases of the circulatory system","Males",21957
2005,"All diseases of the circulatory system","Females",24177
2005,"All diseases of the circulatory system","Total",46134
2006,"All diseases of the circulatory system","Males",21720
2006,"All diseases of the circulatory system","Females",24194
2006,"All diseases of the circulatory system","Total",45914
2007,"All diseases of the circulatory system","Males",22280
2007,"All diseases of the circulatory system","Females",24678
2007,"All diseases of the circulatory system","Total",46958
2008,"All diseases of the circulatory system","Males",22899
2008,"All diseases of the circulatory system","Females",25774
2008,"All diseases of the circulatory system","Total",48673
2009,"All diseases of the circulatory system","Males",21993
2009,"All diseases of the circulatory system","Females",24190
2009,"All diseases of the circulatory system","Total",46183
2010,"All diseases of the circulatory system","Males",21624
2010,"All diseases of the circulatory system","Females",23877
2010,"All diseases of the circulatory system","Total",45501
2011,"All diseases of the circulatory system","Males",21879
2011,"All diseases of the circulatory system","Females",23758
2011,"All diseases of the circulatory system","Total",45637
2012,"All diseases of the circulatory system","Males",21014
2012,"All diseases of the circulatory system","Females",23024
2012,"All diseases of the circulatory system","Total",44038
2013,"All diseases of the circulatory system","Males",21113
2013,"All diseases of the circulatory system","Females",22494
2013,"All diseases of the circulatory system","Total",43607
2014,"All diseases of the circulatory system","Males",21633
2014,"All diseases of the circulatory system","Females",23420
2014,"All diseases of the circulatory system","Total",45053
1907,"Cerebrovascular disease","Males",1038
1907,"Cerebrovascular disease","Females",863
1907,"Cerebrovascular disease","Total",1901
1908,"Cerebrovascular disease","Males",991
1908,"Cerebrovascular disease","Females",876
1908,"Cerebrovascular disease","Total",1867
1909,"Cerebrovascular disease","Males",869
1909,"Cerebrovascular disease","Females",796
1909,"Cerebrovascular disease","Total",1665
1910,"Cerebrovascular disease","Males",864
1910,"Cerebrovascular disease","Females",840
1910,"Cerebrovascular disease","Total",1704
1911,"Cerebrovascular disease","Males",1122
1911,"Cerebrovascular disease","Females",1056
1911,"Cerebrovascular disease","Total",2178
1912,"Cerebrovascular disease","Males",1146
1912,"Cerebrovascular disease","Females",1030
1912,"Cerebrovascular disease","Total",2176
1913,"Cerebrovascular disease","Males",1188
1913,"Cerebrovascular disease","Females",1093
1913,"Cerebrovascular disease","Total",2281
1914,"Cerebrovascular disease","Males",1143
1914,"Cerebrovascular disease","Females",1061
1914,"Cerebrovascular disease","Total",2204
1915,"Cerebrovascular disease","Males",1120
1915,"Cerebrovascular disease","Females",998
1915,"Cerebrovascular disease","Total",2118
1916,"Cerebrovascular disease","Males",1133
1916,"Cerebrovascular disease","Females",1097
1916,"Cerebrovascular disease","Total",2230
1917,"Cerebrovascular disease","Males",1152
1917,"Cerebrovascular disease","Females",1062
1917,"Cerebrovascular disease","Total",2214
1918,"Cerebrovascular disease","Males",1182
1918,"Cerebrovascular disease","Females",1115
1918,"Cerebrovascular disease","Total",2297
1919,"Cerebrovascular disease","Males",1275
1919,"Cerebrovascular disease","Females",1192
1919,"Cerebrovascular disease","Total",2467
1920,"Cerebrovascular disease","Males",1298
1920,"Cerebrovascular disease","Females",1197
1920,"Cerebrovascular disease","Total",2495
1921,"Cerebrovascular disease","Males",1244
1921,"Cerebrovascular disease","Females",1228
1921,"Cerebrovascular disease","Total",2472
1922,"Cerebrovascular disease","Males",1381
1922,"Cerebrovascular disease","Females",1452
1922,"Cerebrovascular disease","Total",2833
1923,"Cerebrovascular disease","Males",1428
1923,"Cerebrovascular disease","Females",1561
1923,"Cerebrovascular disease","Total",2989
1924,"Cerebrovascular disease","Males",1114
1924,"Cerebrovascular disease","Females",1191
1924,"Cerebrovascular disease","Total",2305
1925,"Cerebrovascular disease","Males",1502
1925,"Cerebrovascular disease","Females",1536
1925,"Cerebrovascular disease","Total",3038
1926,"Cerebrovascular disease","Males",1531
1926,"Cerebrovascular disease","Females",1618
1926,"Cerebrovascular disease","Total",3149
1927,"Cerebrovascular disease","Males",1574
1927,"Cerebrovascular disease","Females",1683
1927,"Cerebrovascular disease","Total",3257
1928,"Cerebrovascular disease","Males",1587
1928,"Cerebrovascular disease","Females",1774
1928,"Cerebrovascular disease","Total",3361
1929,"Cerebrovascular disease","Males",1725
1929,"Cerebrovascular disease","Females",1826
1929,"Cerebrovascular disease","Total",3551
1930,"Cerebrovascular disease","Males",1643
1930,"Cerebrovascular disease","Females",1860
1930,"Cerebrovascular disease","Total",3503
1931,"Cerebrovascular disease","Males",1850
1931,"Cerebrovascular disease","Females",2024
1931,"Cerebrovascular disease","Total",3874
1932,"Cerebrovascular disease","Males",1914
1932,"Cerebrovascular disease","Females",2150
1932,"Cerebrovascular disease","Total",4064
1933,"Cerebrovascular disease","Males",1995
1933,"Cerebrovascular disease","Females",2359
1933,"Cerebrovascular disease","Total",4354
1934,"Cerebrovascular disease","Males",2080
1934,"Cerebrovascular disease","Females",2350
1934,"Cerebrovascular disease","Total",4430
1935,"Cerebrovascular disease","Males",2152
1935,"Cerebrovascular disease","Females",2556
1935,"Cerebrovascular disease","Total",4708
1936,"Cerebrovascular disease","Males",2186
1936,"Cerebrovascular disease","Females",2705
1936,"Cerebrovascular disease","Total",4891
1937,"Cerebrovascular disease","Males",2230
1937,"Cerebrovascular disease","Females",2815
1937,"Cerebrovascular disease","Total",5045
1938,"Cerebrovascular disease","Males",2375
1938,"Cerebrovascular disease","Females",2957
1938,"Cerebrovascular disease","Total",5332
1939,"Cerebrovascular disease","Males",2398
1939,"Cerebrovascular disease","Females",2997
1939,"Cerebrovascular disease","Total",5395
1940,"Cerebrovascular disease","Males",2470
1940,"Cerebrovascular disease","Females",3046
1940,"Cerebrovascular disease","Total",5516
1941,"Cerebrovascular disease","Males",2555
1941,"Cerebrovascular disease","Females",3402
1941,"Cerebrovascular disease","Total",5957
1942,"Cerebrovascular disease","Males",2786
1942,"Cerebrovascular disease","Females",3691
1942,"Cerebrovascular disease","Total",6477
1943,"Cerebrovascular disease","Males",2769
1943,"Cerebrovascular disease","Females",3714
1943,"Cerebrovascular disease","Total",6483
1944,"Cerebrovascular disease","Males",2740
1944,"Cerebrovascular disease","Females",3775
1944,"Cerebrovascular disease","Total",6515
1945,"Cerebrovascular disease","Males",3004
1945,"Cerebrovascular disease","Females",3839
1945,"Cerebrovascular disease","Total",6843
1946,"Cerebrovascular disease","Males",3073
1946,"Cerebrovascular disease","Females",4062
1946,"Cerebrovascular disease","Total",7135
1947,"Cerebrovascular disease","Males",3165
1947,"Cerebrovascular disease","Females",4096
1947,"Cerebrovascular disease","Total",7261
1948,"Cerebrovascular disease","Males",3495
1948,"Cerebrovascular disease","Females",4558
1948,"Cerebrovascular disease","Total",8053
1949,"Cerebrovascular disease","Males",3586
1949,"Cerebrovascular disease","Females",4753
1949,"Cerebrovascular disease","Total",8339
1950,"Cerebrovascular disease","Males",4035
1950,"Cerebrovascular disease","Females",5351
1950,"Cerebrovascular disease","Total",9386
1951,"Cerebrovascular disease","Males",4300
1951,"Cerebrovascular disease","Females",5781
1951,"Cerebrovascular disease","Total",10081
1952,"Cerebrovascular disease","Males",4675
1952,"Cerebrovascular disease","Females",6123
1952,"Cerebrovascular disease","Total",10798
1953,"Cerebrovascular disease","Males",4612
1953,"Cerebrovascular disease","Females",6063
1953,"Cerebrovascular disease","Total",10675
1954,"Cerebrovascular disease","Males",4671
1954,"Cerebrovascular disease","Females",6292
1954,"Cerebrovascular disease","Total",10963
1955,"Cerebrovascular disease","Males",4811
1955,"Cerebrovascular disease","Females",6224
1955,"Cerebrovascular disease","Total",11035
1956,"Cerebrovascular disease","Males",4965
1956,"Cerebrovascular disease","Females",6597
1956,"Cerebrovascular disease","Total",11562
1957,"Cerebrovascular disease","Males",5037
1957,"Cerebrovascular disease","Females",6440
1957,"Cerebrovascular disease","Total",11477
1958,"Cerebrovascular disease","Males",4963
1958,"Cerebrovascular disease","Females",6397
1958,"Cerebrovascular disease","Total",11360
1959,"Cerebrovascular disease","Males",5110
1959,"Cerebrovascular disease","Females",6801
1959,"Cerebrovascular disease","Total",11911
1960,"Cerebrovascular disease","Males",5183
1960,"Cerebrovascular disease","Females",6659
1960,"Cerebrovascular disease","Total",11842
1961,"Cerebrovascular disease","Males",5205
1961,"Cerebrovascular disease","Females",6759
1961,"Cerebrovascular disease","Total",11964
1962,"Cerebrovascular disease","Males",5263
1962,"Cerebrovascular disease","Females",6910
1962,"Cerebrovascular disease","Total",12173
1963,"Cerebrovascular disease","Males",5383
1963,"Cerebrovascular disease","Females",7196
1963,"Cerebrovascular disease","Total",12579
1964,"Cerebrovascular disease","Males",5512
1964,"Cerebrovascular disease","Females",7610
1964,"Cerebrovascular disease","Total",13122
1965,"Cerebrovascular disease","Males",5809
1965,"Cerebrovascular disease","Females",7835
1965,"Cerebrovascular disease","Total",13644
1966,"Cerebrovascular disease","Males",5844
1966,"Cerebrovascular disease","Females",8076
1966,"Cerebrovascular disease","Total",13920
1967,"Cerebrovascular disease","Males",5820
1967,"Cerebrovascular disease","Females",7703
1967,"Cerebrovascular disease","Total",13523
1968,"Cerebrovascular disease","Males",6653
1968,"Cerebrovascular disease","Females",8711
1968,"Cerebrovascular disease","Total",15364
1969,"Cerebrovascular disease","Males",6239
1969,"Cerebrovascular disease","Females",8394
1969,"Cerebrovascular disease","Total",14633
1970,"Cerebrovascular disease","Males",6508
1970,"Cerebrovascular disease","Females",9178
1970,"Cerebrovascular disease","Total",15686
1971,"Cerebrovascular disease","Males",6497
1971,"Cerebrovascular disease","Females",9234
1971,"Cerebrovascular disease","Total",15731
1972,"Cerebrovascular disease","Males",6621
1972,"Cerebrovascular disease","Females",9148
1972,"Cerebrovascular disease","Total",15769
1973,"Cerebrovascular disease","Males",6581
1973,"Cerebrovascular disease","Females",9351
1973,"Cerebrovascular disease","Total",15932
1974,"Cerebrovascular disease","Males",6702
1974,"Cerebrovascular disease","Females",9658
1974,"Cerebrovascular disease","Total",16360
1975,"Cerebrovascular disease","Males",6239
1975,"Cerebrovascular disease","Females",9097
1975,"Cerebrovascular disease","Total",15336
1976,"Cerebrovascular disease","Males",6245
1976,"Cerebrovascular disease","Females",9022
1976,"Cerebrovascular disease","Total",15267
1977,"Cerebrovascular disease","Males",5867
1977,"Cerebrovascular disease","Females",8669
1977,"Cerebrovascular disease","Total",14536
1978,"Cerebrovascular disease","Males",5821
1978,"Cerebrovascular disease","Females",8328
1978,"Cerebrovascular disease","Total",14149
1979,"Cerebrovascular disease","Males",5561
1979,"Cerebrovascular disease","Females",7871
1979,"Cerebrovascular disease","Total",13432
1980,"Cerebrovascular disease","Males",5675
1980,"Cerebrovascular disease","Females",8048
1980,"Cerebrovascular disease","Total",13723
1981,"Cerebrovascular disease","Males",5587
1981,"Cerebrovascular disease","Females",8119
1981,"Cerebrovascular disease","Total",13706
1982,"Cerebrovascular disease","Males",5641
1982,"Cerebrovascular disease","Females",8336
1982,"Cerebrovascular disease","Total",13977
1983,"Cerebrovascular disease","Males",5140
1983,"Cerebrovascular disease","Females",7512
1983,"Cerebrovascular disease","Total",12652
1984,"Cerebrovascular disease","Males",5108
1984,"Cerebrovascular disease","Females",7552
1984,"Cerebrovascular disease","Total",12660
1985,"Cerebrovascular disease","Males",5276
1985,"Cerebrovascular disease","Females",8133
1985,"Cerebrovascular disease","Total",13409
1986,"Cerebrovascular disease","Males",5000
1986,"Cerebrovascular disease","Females",7491
1986,"Cerebrovascular disease","Total",12491
1987,"Cerebrovascular disease","Males",5075
1987,"Cerebrovascular disease","Females",7493
1987,"Cerebrovascular disease","Total",12568
1988,"Cerebrovascular disease","Males",5034
1988,"Cerebrovascular disease","Females",7407
1988,"Cerebrovascular disease","Total",12441
1989,"Cerebrovascular disease","Males",5057
1989,"Cerebrovascular disease","Females",7522
1989,"Cerebrovascular disease","Total",12579
1990,"Cerebrovascular disease","Males",4792
1990,"Cerebrovascular disease","Females",7293
1990,"Cerebrovascular disease","Total",12085
1991,"Cerebrovascular disease","Males",4829
1991,"Cerebrovascular disease","Females",7054
1991,"Cerebrovascular disease","Total",11883
1992,"Cerebrovascular disease","Males",4860
1992,"Cerebrovascular disease","Females",7126
1992,"Cerebrovascular disease","Total",11986
1993,"Cerebrovascular disease","Males",4819
1993,"Cerebrovascular disease","Females",7319
1993,"Cerebrovascular disease","Total",12138
1994,"Cerebrovascular disease","Males",5260
1994,"Cerebrovascular disease","Females",7578
1994,"Cerebrovascular disease","Total",12838
1995,"Cerebrovascular disease","Males",5108
1995,"Cerebrovascular disease","Females",7572
1995,"Cerebrovascular disease","Total",12680
1996,"Cerebrovascular disease","Males",5205
1996,"Cerebrovascular disease","Females",7601
1996,"Cerebrovascular disease","Total",12806
1997,"Cerebrovascular disease","Males",4978
1997,"Cerebrovascular disease","Females",7425
1997,"Cerebrovascular disease","Total",12403
1998,"Cerebrovascular disease","Males",4910
1998,"Cerebrovascular disease","Females",7361
1998,"Cerebrovascular disease","Total",12271
1999,"Cerebrovascular disease","Males",4894
1999,"Cerebrovascular disease","Females",7372
1999,"Cerebrovascular disease","Total",12266
2000,"Cerebrovascular disease","Males",4913
2000,"Cerebrovascular disease","Females",7387
2000,"Cerebrovascular disease","Total",12300
2001,"Cerebrovascular disease","Males",4852
2001,"Cerebrovascular disease","Females",7294
2001,"Cerebrovascular disease","Total",12146
2002,"Cerebrovascular disease","Males",4969
2002,"Cerebrovascular disease","Females",7564
2002,"Cerebrovascular disease","Total",12533
2003,"Cerebrovascular disease","Males",4835
2003,"Cerebrovascular disease","Females",7405
2003,"Cerebrovascular disease","Total",12240
2004,"Cerebrovascular disease","Males",4826
2004,"Cerebrovascular disease","Females",7215
2004,"Cerebrovascular disease","Total",12041
2005,"Cerebrovascular disease","Males",4668
2005,"Cerebrovascular disease","Females",6845
2005,"Cerebrovascular disease","Total",11513
2006,"Cerebrovascular disease","Males",4483
2006,"Cerebrovascular disease","Females",6996
2006,"Cerebrovascular disease","Total",11479
2007,"Cerebrovascular disease","Males",4523
2007,"Cerebrovascular disease","Females",6982
2007,"Cerebrovascular disease","Total",11505
2008,"Cerebrovascular disease","Males",4733
2008,"Cerebrovascular disease","Females",7246
2008,"Cerebrovascular disease","Total",11979
2009,"Cerebrovascular disease","Males",4512
2009,"Cerebrovascular disease","Females",6704
2009,"Cerebrovascular disease","Total",11216
2010,"Cerebrovascular disease","Males",4331
2010,"Cerebrovascular disease","Females",6869
2010,"Cerebrovascular disease","Total",11200
2011,"Cerebrovascular disease","Males",4424
2011,"Cerebrovascular disease","Females",6821
2011,"Cerebrovascular disease","Total",11245
2012,"Cerebrovascular disease","Males",4248
2012,"Cerebrovascular disease","Females",6537
2012,"Cerebrovascular disease","Total",10785
2013,"Cerebrovascular disease","Males",4178
2013,"Cerebrovascular disease","Females",6372
2013,"Cerebrovascular disease","Total",10550
2014,"Cerebrovascular disease","Males",4279
2014,"Cerebrovascular disease","Females",6486
2014,"Cerebrovascular disease","Total",10765
1997,"Heart failure","Males",1133
1997,"Heart failure","Females",1849
1997,"Heart failure","Total",2982
1998,"Heart failure","Males",1068
1998,"Heart failure","Females",1727
1998,"Heart failure","Total",2795
1999,"Heart failure","Males",989
1999,"Heart failure","Females",1725
1999,"Heart failure","Total",2714
2000,"Heart failure","Males",982
2000,"Heart failure","Females",1662
2000,"Heart failure","Total",2644
2001,"Heart failure","Males",982
2001,"Heart failure","Females",1630
2001,"Heart failure","Total",2612
2002,"Heart failure","Males",1033
2002,"Heart failure","Females",1696
2002,"Heart failure","Total",2729
2003,"Heart failure","Males",969
2003,"Heart failure","Females",1463
2003,"Heart failure","Total",2432
2004,"Heart failure","Males",883
2004,"Heart failure","Females",1396
2004,"Heart failure","Total",2279
2005,"Heart failure","Males",835
2005,"Heart failure","Females",1390
2005,"Heart failure","Total",2225
2006,"Heart failure","Males",870
2006,"Heart failure","Females",1485
2006,"Heart failure","Total",2355
2007,"Heart failure","Males",1090
2007,"Heart failure","Females",1773
2007,"Heart failure","Total",2863
2008,"Heart failure","Males",1028
2008,"Heart failure","Females",1734
2008,"Heart failure","Total",2762
2009,"Heart failure","Males",1056
2009,"Heart failure","Females",1615
2009,"Heart failure","Total",2671
2010,"Heart failure","Males",1179
2010,"Heart failure","Females",1711
2010,"Heart failure","Total",2890
2011,"Heart failure","Males",1183
2011,"Heart failure","Females",1751
2011,"Heart failure","Total",2934
2012,"Heart failure","Males",1265
2012,"Heart failure","Females",1710
2012,"Heart failure","Total",2975
2013,"Heart failure","Males",1159
2013,"Heart failure","Females",1585
2013,"Heart failure","Total",2744
2014,"Heart failure","Males",1178
2014,"Heart failure","Females",1698
2014,"Heart failure","Total",2876
1950,"Hypertensive disease","Males",1687
1950,"Hypertensive disease","Females",1699
1950,"Hypertensive disease","Total",3386
1951,"Hypertensive disease","Males",1935
1951,"Hypertensive disease","Females",1864
1951,"Hypertensive disease","Total",3799
1952,"Hypertensive disease","Males",1729
1952,"Hypertensive disease","Females",1891
1952,"Hypertensive disease","Total",3620
1953,"Hypertensive disease","Males",1840
1953,"Hypertensive disease","Females",1792
1953,"Hypertensive disease","Total",3632
1954,"Hypertensive disease","Males",1741
1954,"Hypertensive disease","Females",1828
1954,"Hypertensive disease","Total",3569
1955,"Hypertensive disease","Males",1486
1955,"Hypertensive disease","Females",1796
1955,"Hypertensive disease","Total",3282
1956,"Hypertensive disease","Males",1609
1956,"Hypertensive disease","Females",1782
1956,"Hypertensive disease","Total",3391
1957,"Hypertensive disease","Males",1492
1957,"Hypertensive disease","Females",1669
1957,"Hypertensive disease","Total",3161
1958,"Hypertensive disease","Males",1368
1958,"Hypertensive disease","Females",1637
1958,"Hypertensive disease","Total",3005
1959,"Hypertensive disease","Males",1325
1959,"Hypertensive disease","Females",1609
1959,"Hypertensive disease","Total",2934
1960,"Hypertensive disease","Males",1287
1960,"Hypertensive disease","Females",1637
1960,"Hypertensive disease","Total",2924
1961,"Hypertensive disease","Males",1046
1961,"Hypertensive disease","Females",1321
1961,"Hypertensive disease","Total",2367
1962,"Hypertensive disease","Males",1093
1962,"Hypertensive disease","Females",1360
1962,"Hypertensive disease","Total",2453
1963,"Hypertensive disease","Males",976
1963,"Hypertensive disease","Females",1262
1963,"Hypertensive disease","Total",2238
1964,"Hypertensive disease","Males",1020
1964,"Hypertensive disease","Females",1280
1964,"Hypertensive disease","Total",2300
1965,"Hypertensive disease","Males",933
1965,"Hypertensive disease","Females",1192
1965,"Hypertensive disease","Total",2125
1966,"Hypertensive disease","Males",931
1966,"Hypertensive disease","Females",1210
1966,"Hypertensive disease","Total",2141
1967,"Hypertensive disease","Males",904
1967,"Hypertensive disease","Females",1084
1967,"Hypertensive disease","Total",1988
1968,"Hypertensive disease","Males",794
1968,"Hypertensive disease","Females",1072
1968,"Hypertensive disease","Total",1866
1969,"Hypertensive disease","Males",749
1969,"Hypertensive disease","Females",945
1969,"Hypertensive disease","Total",1694
1970,"Hypertensive disease","Males",779
1970,"Hypertensive disease","Females",964
1970,"Hypertensive disease","Total",1743
1971,"Hypertensive disease","Males",659
1971,"Hypertensive disease","Females",970
1971,"Hypertensive disease","Total",1629
1972,"Hypertensive disease","Males",672
1972,"Hypertensive disease","Females",825
1972,"Hypertensive disease","Total",1497
1973,"Hypertensive disease","Males",621
1973,"Hypertensive disease","Females",843
1973,"Hypertensive disease","Total",1464
1974,"Hypertensive disease","Males",661
1974,"Hypertensive disease","Females",935
1974,"Hypertensive disease","Total",1596
1975,"Hypertensive disease","Males",598
1975,"Hypertensive disease","Females",817
1975,"Hypertensive disease","Total",1415
1976,"Hypertensive disease","Males",596
1976,"Hypertensive disease","Females",878
1976,"Hypertensive disease","Total",1474
1977,"Hypertensive disease","Males",575
1977,"Hypertensive disease","Females",775
1977,"Hypertensive disease","Total",1350
1978,"Hypertensive disease","Males",559
1978,"Hypertensive disease","Females",733
1978,"Hypertensive disease","Total",1292
1979,"Hypertensive disease","Males",609
1979,"Hypertensive disease","Females",800
1979,"Hypertensive disease","Total",1409
1980,"Hypertensive disease","Males",580
1980,"Hypertensive disease","Females",746
1980,"Hypertensive disease","Total",1326
1981,"Hypertensive disease","Males",503
1981,"Hypertensive disease","Females",723
1981,"Hypertensive disease","Total",1226
1982,"Hypertensive disease","Males",537
1982,"Hypertensive disease","Females",738
1982,"Hypertensive disease","Total",1275
1983,"Hypertensive disease","Males",470
1983,"Hypertensive disease","Females",641
1983,"Hypertensive disease","Total",1111
1984,"Hypertensive disease","Males",464
1984,"Hypertensive disease","Females",621
1984,"Hypertensive disease","Total",1085
1985,"Hypertensive disease","Males",461
1985,"Hypertensive disease","Females",722
1985,"Hypertensive disease","Total",1183
1986,"Hypertensive disease","Males",409
1986,"Hypertensive disease","Females",676
1986,"Hypertensive disease","Total",1085
1987,"Hypertensive disease","Males",413
1987,"Hypertensive disease","Females",645
1987,"Hypertensive disease","Total",1058
1988,"Hypertensive disease","Males",451
1988,"Hypertensive disease","Females",672
1988,"Hypertensive disease","Total",1123
1989,"Hypertensive disease","Males",452
1989,"Hypertensive disease","Females",698
1989,"Hypertensive disease","Total",1150
1990,"Hypertensive disease","Males",405
1990,"Hypertensive disease","Females",644
1990,"Hypertensive disease","Total",1049
1991,"Hypertensive disease","Males",408
1991,"Hypertensive disease","Females",621
1991,"Hypertensive disease","Total",1029
1992,"Hypertensive disease","Males",390
1992,"Hypertensive disease","Females",684
1992,"Hypertensive disease","Total",1074
1993,"Hypertensive disease","Males",427
1993,"Hypertensive disease","Females",710
1993,"Hypertensive disease","Total",1137
1994,"Hypertensive disease","Males",427
1994,"Hypertensive disease","Females",691
1994,"Hypertensive disease","Total",1118
1995,"Hypertensive disease","Males",420
1995,"Hypertensive disease","Females",681
1995,"Hypertensive disease","Total",1101
1996,"Hypertensive disease","Males",440
1996,"Hypertensive disease","Females",660
1996,"Hypertensive disease","Total",1100
1997,"Hypertensive disease","Males",478
1997,"Hypertensive disease","Females",745
1997,"Hypertensive disease","Total",1223
1998,"Hypertensive disease","Males",432
1998,"Hypertensive disease","Females",777
1998,"Hypertensive disease","Total",1209
1999,"Hypertensive disease","Males",432
1999,"Hypertensive disease","Females",745
1999,"Hypertensive disease","Total",1177
2000,"Hypertensive disease","Males",449
2000,"Hypertensive disease","Females",753
2000,"Hypertensive disease","Total",1202
2001,"Hypertensive disease","Males",443
2001,"Hypertensive disease","Females",780
2001,"Hypertensive disease","Total",1223
2002,"Hypertensive disease","Males",457
2002,"Hypertensive disease","Females",896
2002,"Hypertensive disease","Total",1353
2003,"Hypertensive disease","Males",485
2003,"Hypertensive disease","Females",879
2003,"Hypertensive disease","Total",1364
2004,"Hypertensive disease","Males",503
2004,"Hypertensive disease","Females",837
2004,"Hypertensive disease","Total",1340
2005,"Hypertensive disease","Males",508
2005,"Hypertensive disease","Females",937
2005,"Hypertensive disease","Total",1445
2006,"Hypertensive disease","Males",519
2006,"Hypertensive disease","Females",981
2006,"Hypertensive disease","Total",1500
2007,"Hypertensive disease","Males",556
2007,"Hypertensive disease","Females",1084
2007,"Hypertensive disease","Total",1640
2008,"Hypertensive disease","Males",628
2008,"Hypertensive disease","Females",1205
2008,"Hypertensive disease","Total",1833
2009,"Hypertensive disease","Males",630
2009,"Hypertensive disease","Females",1215
2009,"Hypertensive disease","Total",1845
2010,"Hypertensive disease","Males",561
2010,"Hypertensive disease","Females",1171
2010,"Hypertensive disease","Total",1732
2011,"Hypertensive disease","Males",602
